Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSQF,NewHouse,SummerSale,Season,RemodelAge,GarageAgeInv,GarageIdx,HouseAge,LargeHouse,SQFperRoom,HasPool,PrchSQ,time_index,neighborhood_index
1471,120,RH,26.0,5858,Pave,,IR1,Lvl,4.0,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,3,2,PConc,3.0,2.0,1.0,3.0,1051.0,2.0,0.0,354.0,1405.0,GasA,3,1,SBrkr,1337,0,0,1337,1.0,0.0,2,0,2,1,3.0,5,7.0,1,2.0,Attchd,4.0,2.0,511.0,2.0,2.0,2,203,68,0,0,0,0,0.0,0.0,,0,6,2010,WD,Normal,184000,2742.0,False,True,1,11,0.08333333333333333,0.6666666666666666,11,False,548.4,False,68,0.9844289756740263,0.9252844684344167
1472,160,RM,21.0,1680,Pave,,Reg,Lvl,4.0,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,5.0,504.0,2,2,CBlock,2.0,2.0,1.0,2.0,156.0,1.0,0.0,327.0,483.0,GasA,2,1,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,2.0,5,7.0,0,0.0,Detchd,2.0,1.0,264.0,2.0,2.0,2,275,0,0,0,0,0,0.0,0.0,,0,2,2010,COD,Normal,96000,1470.0,False,False,0,39,0.025,0.05,39,False,294.0,False,0,0.9902350745897145,0.8704007538009637
1473,160,RM,21.0,1680,Pave,,Reg,Lvl,4.0,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,Gable,CompShg,HdBoard,HdBoard,5.0,492.0,2,2,CBlock,2.0,2.0,1.0,2.0,300.0,1.0,0.0,225.0,525.0,GasA,2,1,SBrkr,525,567,0,1092,0.0,0.0,1,1,3,1,2.0,6,7.0,0,0.0,Detchd,2.0,1.0,320.0,2.0,2.0,2,0,0,0,0,0,0,0.0,0.0,,0,3,2010,WD,Normal,105500,1617.0,False,False,0,39,0.07142857142857141,0.14285714285714282,39,False,269.5,False,0,0.9902350745897145,0.8704007538009637
1474,160,RL,24.0,2280,Pave,,Reg,Lvl,4.0,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,Gable,CompShg,Plywood,Brk Cmn,0.0,0.0,2,2,CBlock,2.0,2.0,1.0,3.0,514.0,1.0,0.0,341.0,855.0,GasA,2,1,SBrkr,855,601,0,1456,0.0,0.0,2,1,3,1,3.0,6,7.0,1,2.0,Attchd,2.0,2.0,440.0,2.0,2.0,2,173,0,0,0,0,0,0.0,0.0,,0,6,2010,WD,Normal,149900,2311.0,False,True,1,35,0.02777777777777778,0.11111111111111112,35,False,385.1666666666667,False,0,0.9844289756740263,0.9330263708711842
1475,120,RL,24.0,2280,Pave,,Reg,Lvl,4.0,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,Gable,CompShg,Plywood,Brk Cmn,0.0,0.0,2,2,CBlock,3.0,2.0,1.0,1.0,0.0,1.0,0.0,836.0,836.0,GasA,3,1,SBrkr,836,0,0,836,0.0,0.0,1,0,2,1,2.0,4,7.0,0,0.0,Attchd,2.0,1.0,308.0,2.0,2.0,2,0,30,0,0,0,0,0.0,0.0,,0,6,2010,WD,Normal,120000,1672.0,False,True,1,35,0.02777777777777778,0.05555555555555556,35,False,418.0,False,30,0.9844289756740263,0.9330263708711842
1476,60,RL,102.0,12858,Pave,,IR1,Lvl,4.0,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Gable,CompShg,VinylSd,VinylSd,8.0,162.0,3,2,PConc,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1590.0,1590.0,GasA,3,1,SBrkr,1627,707,0,2334,0.0,0.0,2,1,3,1,3.0,10,7.0,1,3.0,Attchd,4.0,3.0,751.0,2.0,2.0,2,144,133,0,0,0,0,0.0,0.0,,0,1,2010,New,Partial,376162,3924.0,True,False,0,0,0.5,6.0,1,False,392.4,False,133,0.9902350745897145,1.264241649599429
1477,20,RL,94.0,12883,Pave,,IR1,Lvl,4.0,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,8.0,256.0,3,2,PConc,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1544.0,1544.0,GasA,3,1,SBrkr,1544,0,0,1544,0.0,0.0,2,0,3,1,3.0,7,7.0,0,0.0,Attchd,3.0,3.0,868.0,2.0,2.0,2,0,35,0,0,0,0,0.0,0.0,,0,6,2010,New,Partial,290941,3088.0,True,True,1,0,0.5,4.5,1,False,441.14285714285717,False,35,0.9844289756740263,1.264241649599429
1478,20,RL,90.0,11520,Pave,,Reg,Lvl,4.0,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,Hip,CompShg,VinylSd,VinylSd,5.0,615.0,3,2,PConc,3.0,2.0,1.0,3.0,110.0,1.0,0.0,1588.0,1698.0,GasA,3,1,SBrkr,1698,0,0,1698,0.0,0.0,2,0,3,1,3.0,7,7.0,1,3.0,Attchd,4.0,3.0,730.0,2.0,2.0,2,192,74,0,0,0,0,0.0,0.0,,0,6,2010,WD,Normal,275000,3396.0,False,True,1,5,0.16666666666666669,2.0,5,False,485.14285714285717,False,74,0.9844289756740263,1.264241649599429
1479,20,RL,79.0,14122,Pave,,IR1,Lvl,4.0,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,CemntBd,CmentBd,5.0,240.0,3,2,PConc,3.0,2.0,1.0,3.0,28.0,1.0,0.0,1794.0,1822.0,GasA,3,1,SBrkr,1822,0,0,1822,0.0,0.0,2,0,3,1,3.0,8,7.0,1,3.0,Attchd,3.0,3.0,678.0,2.0,2.0,2,0,119,0,0,0,0,0.0,0.0,,0,2,2010,WD,Normal,259000,3644.0,False,False,0,4,0.16666666666666669,1.5,5,False,455.5,False,119,0.9902350745897145,1.264241649599429
1480,20,RL,110.0,14300,Pave,,Reg,HLS,4.0,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,Hip,CompShg,VinylSd,VinylSd,5.0,1095.0,3,2,PConc,3.0,2.0,4.0,3.0,1373.0,1.0,0.0,1473.0,2846.0,GasA,3,1,SBrkr,2696,0,0,2696,1.0,0.0,2,1,3,1,3.0,10,7.0,2,3.0,Attchd,4.0,3.0,958.0,2.0,2.0,2,220,150,0,0,0,0,0.0,0.0,,0,6,2010,WD,Normal,500000,5542.0,False,True,1,6,0.12500000000000003,1.5000000000000004,7,True,554.2,False,150,0.9844289756740263,1.264241649599429
1481,60,RL,105.0,13650,Pave,,Reg,Lvl,4.0,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,5.0,232.0,3,2,PConc,3.0,2.0,4.0,3.0,578.0,1.0,0.0,1093.0,1671.0,GasA,3,1,SBrkr,1687,563,0,2250,1.0,0.0,2,1,3,1,3.0,7,7.0,1,3.0,Attchd,4.0,3.0,756.0,2.0,2.0,2,238,130,0,0,0,0,0.0,0.0,,0,6,2010,WD,Normal,320000,3921.0,False,True,1,8,0.11111111111111109,1.333333333333333,8,False,560.1428571428571,False,130,0.9844289756740263,1.264241649599429
1482,120,RL,41.0,7132,Pave,,IR1,Lvl,4.0,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,8.0,178.0,3,2,PConc,3.0,2.0,2.0,3.0,24.0,1.0,0.0,1346.0,1370.0,GasA,3,1,SBrkr,1370,0,0,1370,0.0,0.0,2,0,2,1,3.0,6,7.0,1,3.0,Attchd,3.0,2.0,484.0,2.0,2.0,2,120,49,0,0,0,0,0.0,0.0,,0,4,2010,WD,Normal,205000,2740.0,False,True,1,4,0.2,1.2000000000000002,4,False,456.6666666666667,False,49,0.9844289756740263,1.264241649599429
1483,20,RL,100.0,18494,Pave,,IR1,Lvl,4.0,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,3,2,PConc,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1324.0,1324.0,GasA,3,1,SBrkr,1324,0,0,1324,0.0,0.0,2,0,3,1,3.0,6,7.0,0,0.0,Attchd,4.0,2.0,430.0,2.0,2.0,2,36,23,0,0,0,0,0.0,0.0,,0,1,2010,WD,Normal,199500,2648.0,False,False,0,5,0.16666666666666669,1.3333333333333335,5,False,441.3333333333333,False,23,0.9902350745897145,1.1037830103946835
1484,120,RL,43.0,3203,Pave,,Reg,Lvl,4.0,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,5.0,14.0,3,2,PConc,3.0,2.0,3.0,3.0,16.0,1.0,0.0,1129.0,1145.0,GasA,3,1,SBrkr,1145,0,0,1145,0.0,0.0,2,0,2,1,3.0,6,7.0,0,0.0,Attchd,4.0,2.0,437.0,2.0,2.0,2,100,116,0,0,0,0,0.0,0.0,,0,1,2010,WD,Normal,160000,2290.0,False,False,0,4,0.2,1.6,4,False,381.6666666666667,False,116,0.9902350745897145,1.0089159808736952
1485,80,RL,67.0,13300,Pave,,IR1,Lvl,4.0,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,3,2,PConc,3.0,2.0,1.0,3.0,326.0,1.0,0.0,58.0,384.0,GasA,3,1,SBrkr,744,630,0,1374,1.0,0.0,2,1,3,1,3.0,7,7.0,1,3.0,BuiltIn,4.0,2.0,400.0,2.0,2.0,2,100,0,0,0,0,0,0.0,0.0,,0,6,2010,WD,Normal,184500,1758.0,False,True,1,6,0.14285714285714288,1.142857142857143,6,False,251.14285714285714,False,0,0.9844289756740263,1.1037830103946835
1486,60,RL,63.0,8577,Pave,,IR1,Lvl,4.0,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,3,2,PConc,3.0,2.0,1.0,1.0,0.0,1.0,0.0,847.0,847.0,GasA,3,1,SBrkr,847,886,0,1733,0.0,0.0,2,1,3,1,3.0,7,7.0,1,3.0,BuiltIn,4.0,2.0,433.0,2.0,2.0,2,144,48,0,0,0,0,0.0,0.0,,0,4,2010,WD,Normal,185088,2580.0,False,True,1,6,0.14285714285714288,1.142857142857143,6,False,368.57142857142856,False,48,0.9844289756740263,1.1037830103946835
1487,60,RL,60.0,17433,Pave,,IR2,Lvl,4.0,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Hip,CompShg,VinylSd,VinylSd,5.0,114.0,3,2,PConc,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1629.0,1629.0,GasA,3,1,SBrkr,1645,830,0,2475,0.0,0.0,2,1,4,1,3.0,7,7.0,1,2.0,Attchd,4.0,3.0,962.0,2.0,2.0,2,23,172,0,0,256,0,0.0,0.0,,0,1,2010,WD,Normal,355000,4104.0,False,False,0,12,0.07692307692307693,0.9230769230769231,12,True,586.2857142857143,False,428,0.9902350745897145,1.1795619731956315
1488,20,RL,73.0,8987,Pave,,Reg,Lvl,4.0,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,5.0,226.0,3,2,PConc,3.0,2.0,,1.0,0.0,1.0,0.0,1595.0,1595.0,GasA,3,1,SBrkr,1595,0,0,1595,0.0,0.0,2,0,2,1,3.0,6,7.0,1,3.0,Attchd,3.0,3.0,880.0,2.0,2.0,2,144,0,0,0,0,0,0.0,0.0,,0,5,2010,WD,Normal,221500,3190.0,False,True,1,4,0.16666666666666669,1.5,5,False,531.6666666666666,False,0,0.9844289756740263,1.177355159654888
1489,20,FV,92.0,9215,Pave,,Reg,Lvl,4.0,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,Hip,CompShg,VinylSd,VinylSd,0.0,0.0,3,2,PConc,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1218.0,1218.0,GasA,3,1,SBrkr,1218,0,0,1218,0.0,0.0,2,0,2,1,3.0,4,7.0,0,0.0,Attchd,3.0,2.0,676.0,2.0,2.0,2,0,136,0,0,0,0,0.0,0.0,,0,4,2010,New,Partial,204500,2436.0,True,True,1,0,0.5,3.0,1,False,609.0,False,136,0.9844289756740263,1.177355159654888
1490,20,FV,84.0,10440,Pave,,Reg,Lvl,4.0,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,3,2,PConc,3.0,2.0,1.0,3.0,1414.0,1.0,0.0,54.0,1468.0,GasA,3,1,SBrkr,1468,0,0,1468,1.0,0.0,2,0,2,1,3.0,6,7.0,1,3.0,Attchd,4.0,2.0,528.0,2.0,2.0,2,0,102,0,0,216,0,0.0,0.0,,0,5,2010,WD,Normal,271500,2936.0,False,True,1,5,0.16666666666666669,1.3333333333333335,5,False,489.3333333333333,False,318,0.9844289756740263,1.177355159654888
1491,60,RL,70.0,11920,Pave,,Reg,Lvl,4.0,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,5.0,122.0,3,2,PConc,3.0,2.0,3.0,1.0,0.0,1.0,0.0,831.0,831.0,GasA,3,1,SBrkr,831,828,0,1659,0.0,0.0,2,1,3,1,3.0,8,7.0,0,0.0,Attchd,3.0,2.0,484.0,2.0,2.0,2,144,68,0,0,0,0,0.0,0.0,,0,4,2010,WD,Normal,181000,2490.0,False,True,1,6,0.14285714285714288,0.8571428571428572,6,False,311.25,False,68,0.9844289756740263,1.0124759912476182
1492,30,RH,70.0,9800,Pave,,Reg,Lvl,4.0,Corner,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,0.0,2,2,BrkTil,2.0,2.0,1.0,1.0,0.0,1.0,0.0,816.0,816.0,GasA,2,0,FuseA,1012,0,0,1012,0.0,0.0,1,0,2,1,2.0,5,7.0,0,0.0,Detchd,2.0,1.0,429.0,2.0,2.0,2,121,0,80,0,0,0,0.0,0.0,,0,4,2010,WD,Normal,67500,1828.0,False,True,1,60,0.010989010989010992,0.021978021978021983,90,False,365.6,False,80,0.9844289756740263,1.0124759912476182
1493,20,RL,39.0,15410,Pave,,IR1,Lvl,4.0,CulDSac,Gtl,Sawyer,RRNe,Norm,1Fam,1Story,6,6,Hip,CompShg,Plywood,Plywood,2.0,250.0,2,3,CBlock,2.0,2.0,4.0,2.0,126.0,3.0,859.0,223.0,1208.0,GasA,3,1,SBrkr,1494,0,0,1494,1.0,0.0,2,0,3,1,2.0,7,7.0,2,2.0,Attchd,4.0,2.0,461.0,2.0,2.0,2,296,0,186,0,0,0,0.0,5.0,,0,4,2010,WD,Abnorml,169000,2702.0,False,True,1,8,0.02702702702702703,0.21621621621621623,36,False,386.0,False,186,0.9844289756740263,0.91958393904907
1494,60,RL,85.0,13143,Pave,,IR1,Lvl,4.0,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,HdBoard,ImStucc,5.0,504.0,3,2,PConc,3.0,2.0,1.0,1.0,250.0,3.0,981.0,0.0,1231.0,GasA,3,1,SBrkr,1251,1098,0,2349,1.0,0.0,2,1,4,1,3.0,9,7.0,1,2.0,Attchd,3.0,3.0,762.0,2.0,2.0,2,32,130,0,0,0,0,0.0,0.0,,0,6,2010,WD,Normal,362500,3580.0,False,True,1,17,0.055555555555555566,0.5,17,False,397.77777777777777,False,130,0.9844289756740263,1.1795619731956315
1495,60,RL,88.0,11134,Pave,,Reg,Lvl,4.0,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,HdBoard,HdBoard,5.0,180.0,3,2,PConc,3.0,2.0,1.0,3.0,1129.0,1.0,0.0,261.0,1390.0,GasA,3,1,SBrkr,1402,823,0,2225,1.0,0.0,2,1,4,1,3.0,7,7.0,1,2.0,Attchd,3.0,3.0,713.0,2.0,2.0,2,198,30,0,0,0,0,0.0,0.0,,0,6,2010,WD,Normal,285000,3615.0,False,True,1,17,0.05263157894736843,0.47368421052631593,18,False,516.4285714285714,False,30,0.9844289756740263,1.1795619731956315
1496,120,FV,25.0,4835,Pave,,IR1,Lvl,4.0,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,3,2,PConc,3.0,2.0,3.0,3.0,1298.0,1.0,0.0,190.0,1488.0,GasA,3,1,SBrkr,1488,0,0,1488,1.0,0.0,2,0,2,1,3.0,6,7.0,1,3.0,Attchd,4.0,2.0,506.0,2.0,2.0,2,168,50,0,0,0,0,0.0,0.0,,0,3,2010,WD,Normal,260000,2976.0,False,False,0,5,0.14285714285714288,1.142857142857143,6,False,496.0,False,50,0.9902350745897145,1.177355159654888
1497,160,FV,39.0,3515,Pave,Pave,Reg,Lvl,4.0,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,3,2,PConc,3.0,2.0,1.0,1.0,0.0,1.0,0.0,840.0,840.0,GasA,3,1,SBrkr,840,840,0,1680,0.0,0.0,2,1,2,1,3.0,3,7.0,0,0.0,Attchd,3.0,2.0,588.0,2.0,2.0,2,0,111,0,0,0,0,0.0,0.0,,0,1,2010,WD,Normal,190000,2520.0,False,False,0,6,0.14285714285714288,0.8571428571428572,6,False,840.0,False,111,0.9902350745897145,1.177355159654888
1498,160,FV,30.0,3215,Pave,Pave,Reg,Lvl,4.0,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,Gable,CompShg,MetalSd,MetalSd,5.0,120.0,3,2,PConc,3.0,2.0,3.0,3.0,280.0,1.0,0.0,320.0,600.0,GasA,3,1,SBrkr,600,600,0,1200,0.0,0.0,2,1,2,1,3.0,4,7.0,0,0.0,Detchd,3.0,2.0,480.0,2.0,2.0,2,0,172,0,0,0,0,0.0,0.0,,0,4,2010,ConLD,Normal,155000,1800.0,False,True,1,6,0.14285714285714288,0.8571428571428572,6,False,450.0,False,172,0.9844289756740263,1.177355159654888
1499,160,FV,24.0,2544,Pave,Pave,Reg,Lvl,4.0,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,3,2,PConc,3.0,2.0,1.0,3.0,368.0,3.0,42.0,190.0,600.0,GasA,3,1,SBrkr,600,600,0,1200,1.0,0.0,2,1,2,1,3.0,4,7.0,0,0.0,Detchd,3.0,2.0,480.0,2.0,2.0,2,0,172,0,0,0,0,0.0,0.0,,0,2,2010,WD,Normal,149500,1800.0,False,False,0,5,0.14285714285714288,0.8571428571428572,6,False,450.0,False,172,0.9902350745897145,1.177355159654888
