Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,YrSold,SaleType,SaleCondition,SalePrice,TotalSQF,NewHouse,SummerSale,RecentRemodel
11,20,RL,70.0,11200,Pave,,Reg,Lvl,4,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,2.0,2.0,906,0.0,0,134,1040,GasA,5,1,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,10,0,,Detchd,1965.0,2.0,1,384,3.0,3.0,3,0,0,0,0,0,0,,,,0,2008,WD,Normal,129500,2080,False,False,False
12,60,RL,85.0,11924,Pave,,IR1,Lvl,4,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5.0,3.0,2.0,5.0,998,0.0,0,177,1175,GasA,5,1,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,10,2,4.0,BuiltIn,2005.0,4.0,3,736,3.0,3.0,3,147,21,0,0,0,0,,,,0,2006,New,Partial,345000,3499,True,True,True
13,20,RL,,12968,Pave,,IR2,Lvl,4,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3.0,3.0,2.0,4.0,737,0.0,0,175,912,GasA,3,1,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,10,0,,Detchd,1962.0,2.0,1,352,3.0,3.0,3,140,0,0,0,176,0,,,,0,2008,WD,Normal,144000,1824,False,False,False
14,20,RL,91.0,10652,Pave,,IR1,Lvl,4,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4.0,3.0,4.0,0.0,0,0.0,0,1494,1494,GasA,5,1,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,10,1,4.0,Attchd,2006.0,3.0,3,840,3.0,3.0,3,160,33,0,0,0,0,,,,0,2007,New,Partial,279500,2988,True,True,True
15,20,RL,,10920,Pave,,IR1,Lvl,4,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3.0,3.0,2.0,3.0,733,0.0,0,520,1253,GasA,3,1,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,10,1,2.0,Attchd,1960.0,3.0,1,352,3.0,3.0,3,0,213,176,0,0,0,,3.0,,0,2008,WD,Normal,157000,2506,False,True,False
16,45,RM,51.0,6120,Pave,,Reg,Lvl,4,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3.0,2.0,0.0,0,0.0,0,832,832,GasA,5,1,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,10,0,,Detchd,1991.0,2.0,2,576,3.0,3.0,3,48,112,0,0,0,0,,5.0,,0,2007,WD,Normal,132000,1686,False,True,False
17,20,RL,,11241,Pave,,IR1,Lvl,4,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3.0,3.0,2.0,4.0,578,0.0,0,426,1004,GasA,5,1,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,10,1,3.0,Attchd,1970.0,4.0,2,480,3.0,3.0,3,0,0,0,0,0,0,,,Shed,700,2010,WD,Normal,149000,2008,False,False,False
18,90,RL,72.0,10791,Pave,,Reg,Lvl,4,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,,,,,0,,0,0,0,GasA,3,1,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,10,0,,CarPort,1967.0,2.0,2,516,3.0,3.0,3,0,0,0,0,0,0,,,Shed,500,2006,WD,Normal,90000,1296,False,False,False
19,20,RL,66.0,13695,Pave,,Reg,Lvl,4,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,3.0,2.0,5.0,646,0.0,0,468,1114,GasA,5,1,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,10,0,,Detchd,2004.0,2.0,2,576,3.0,3.0,3,0,102,0,0,0,0,,,,0,2008,WD,Normal,159000,2228,False,True,False
20,20,RL,70.0,7560,Pave,,Reg,Lvl,4,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3.0,3.0,2.0,1.0,504,0.0,0,525,1029,GasA,3,1,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,8,0,,Attchd,1958.0,2.0,1,294,3.0,3.0,3,0,0,0,0,0,0,,4.0,,0,2009,COD,Abnorml,139000,2368,False,True,False
21,60,RL,101.0,14215,Pave,,IR1,Lvl,4,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5.0,3.0,4.0,0.0,0,0.0,0,1158,1158,GasA,5,1,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,10,1,4.0,BuiltIn,2005.0,3.0,3,853,3.0,3.0,3,240,154,0,0,0,0,,,,0,2006,New,Partial,325300,3534,True,False,True
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,4,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3.0,3.0,2.0,0.0,0,0.0,0,637,637,GasA,5,1,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,10,1,4.0,Attchd,1930.0,2.0,1,280,3.0,3.0,1,0,0,205,0,0,0,,5.0,,0,2007,WD,Normal,139400,1745,False,True,False
23,20,RL,75.0,9742,Pave,,Reg,Lvl,4,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4.0,3.0,2.0,0.0,0,0.0,0,1777,1777,GasA,5,1,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,10,1,4.0,Attchd,2002.0,3.0,2,534,3.0,3.0,3,171,159,0,0,0,0,,,,0,2008,WD,Normal,230000,3572,False,False,False
24,120,RM,44.0,4224,Pave,,Reg,Lvl,4,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4.0,3.0,2.0,5.0,840,0.0,0,200,1040,GasA,3,1,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,10,1,3.0,Attchd,1976.0,2.0,2,572,3.0,3.0,3,100,110,0,0,0,0,,,,0,2007,WD,Normal,129900,2100,False,True,False
25,20,RL,,8246,Pave,,IR1,Lvl,4,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3.0,3.0,3.0,2.0,188,4.0,668,204,1060,GasA,5,1,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,10,1,3.0,Attchd,1968.0,2.0,1,270,3.0,3.0,3,406,90,0,0,0,0,,4.0,,0,2010,WD,Normal,154000,2120,False,True,False
26,20,RL,110.0,14230,Pave,,Reg,Lvl,4,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4.0,3.0,2.0,0.0,0,0.0,0,1566,1566,GasA,5,1,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,10,1,4.0,Attchd,2007.0,3.0,3,890,3.0,3.0,3,0,56,0,0,0,0,,,,0,2009,WD,Normal,256300,3166,False,True,False
27,20,RL,60.0,7200,Pave,,Reg,Lvl,4,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,3.0,3.0,234,2.0,486,180,900,GasA,3,1,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,10,0,,Detchd,2005.0,2.0,2,576,3.0,3.0,3,222,32,0,0,0,0,,,,0,2010,WD,Normal,134800,1800,False,True,False
28,20,RL,98.0,11478,Pave,,Reg,Lvl,4,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5.0,3.0,2.0,5.0,1218,0.0,0,486,1704,GasA,5,1,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,10,1,4.0,Attchd,2008.0,3.0,3,772,3.0,3.0,3,0,50,0,0,0,0,,,,0,2010,WD,Normal,306000,3408,False,True,True
29,20,RL,47.0,16321,Pave,,IR1,Lvl,4,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,5.0,3.0,1277,0.0,0,207,1484,GasA,3,1,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,10,2,4.0,Attchd,1957.0,3.0,1,319,3.0,3.0,3,288,258,0,0,0,0,,,,0,2006,WD,Normal,207500,3084,False,False,False
30,30,RM,60.0,6324,Pave,,IR1,Lvl,4,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,2.0,0.0,0,0.0,0,520,520,GasA,2,0,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,10,0,,Detchd,1920.0,2.0,1,240,2.0,3.0,3,49,0,87,0,0,0,,,,0,2008,WD,Normal,68500,1040,False,True,False
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,4,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3.0,3.0,2.0,0.0,0,0.0,0,649,649,GasA,3,0,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,10,0,,Detchd,1920.0,2.0,1,250,3.0,2.0,1,0,54,172,0,0,0,,4.0,,0,2008,WD,Normal,40000,1966,False,True,False
32,20,RL,,8544,Pave,,IR1,Lvl,4,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,2.0,0.0,0,0.0,0,1228,1228,GasA,4,1,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,10,0,,Attchd,1966.0,2.0,1,271,3.0,3.0,3,0,65,0,0,0,0,,4.0,,0,2008,WD,Normal,149350,2456,False,True,False
33,20,RL,85.0,11049,Pave,,Reg,Lvl,4,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5.0,3.0,4.0,0.0,0,0.0,0,1234,1234,GasA,5,1,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,10,0,,Attchd,2007.0,3.0,2,484,3.0,3.0,3,0,30,0,0,0,0,,,,0,2008,WD,Normal,179900,2468,True,False,False
34,20,RL,70.0,10552,Pave,,IR1,Lvl,4,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3.0,3.0,2.0,2.0,1018,0.0,0,380,1398,GasA,4,1,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,10,1,4.0,Attchd,1959.0,3.0,2,447,3.0,3.0,3,0,38,0,0,0,0,,,,0,2010,WD,Normal,165500,3098,False,True,False
35,120,RL,60.0,7313,Pave,,Reg,Lvl,4,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5.0,3.0,2.0,5.0,1153,0.0,0,408,1561,GasA,5,1,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,10,1,4.0,Attchd,2005.0,4.0,2,556,3.0,3.0,3,203,47,0,0,0,0,,,,0,2007,WD,Normal,277500,3122,False,True,False
36,60,RL,108.0,13418,Pave,,Reg,Lvl,4,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5.0,3.0,4.0,0.0,0,0.0,0,1117,1117,GasA,5,1,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,10,1,4.0,BuiltIn,2004.0,4.0,3,691,3.0,3.0,3,113,32,0,0,0,0,,,,0,2006,WD,Normal,309000,3569,False,False,True
37,20,RL,112.0,10859,Pave,,Reg,Lvl,4,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,2.0,0.0,0,0.0,0,1097,1097,GasA,5,1,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,10,0,,Attchd,1995.0,2.0,2,672,3.0,3.0,3,392,64,0,0,0,0,,,,0,2009,WD,Normal,145000,2194,False,True,True
38,20,RL,74.0,8532,Pave,,Reg,Lvl,4,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3.0,3.0,2.0,2.0,1213,0.0,0,84,1297,GasA,4,1,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,10,1,3.0,Attchd,1954.0,4.0,2,498,3.0,3.0,3,0,0,0,0,0,0,,,,0,2009,WD,Normal,153000,2594,False,False,False
39,20,RL,68.0,7922,Pave,,Reg,Lvl,4,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,2.0,5.0,731,0.0,0,326,1057,GasA,3,1,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,10,0,,Detchd,1953.0,2.0,1,246,3.0,3.0,3,0,52,0,0,0,0,,,,0,2010,WD,Abnorml,109000,2114,False,False,False
40,90,RL,65.0,6040,Pave,,Reg,Lvl,4,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,,,,,0,,0,0,0,GasA,3,0,FuseP,1152,0,0,1152,0,0,2,0,2,2,2,6,10,0,,,,,0,0,,,1,0,0,0,0,0,0,,,,0,2008,WD,AdjLand,82000,1152,False,True,False
41,20,RL,84.0,8658,Pave,,Reg,Lvl,4,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3.0,3.0,2.0,2.0,643,0.0,0,445,1088,GasA,5,1,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,10,1,3.0,Attchd,1965.0,3.0,2,440,3.0,3.0,3,0,138,0,0,0,0,,3.0,,0,2006,WD,Abnorml,160000,2412,False,False,False
42,20,RL,115.0,16905,Pave,,Reg,Lvl,4,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,5.0,3.0,967,0.0,0,383,1350,GasA,4,1,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,10,2,4.0,Attchd,1959.0,3.0,1,308,3.0,3.0,2,0,104,0,0,0,0,,,,0,2007,WD,Normal,170000,2678,False,True,False
43,85,RL,,9180,Pave,,IR1,Lvl,4,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4.0,3.0,4.0,4.0,747,1.0,93,0,840,GasA,4,1,SBrkr,884,0,0,884,1,0,1,0,2,1,4,5,10,0,,Attchd,1983.0,3.0,2,504,3.0,4.0,3,240,0,0,0,0,0,,4.0,,0,2007,WD,Normal,144000,1724,False,False,False
44,20,RL,,9200,Pave,,IR1,Lvl,4,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4.0,3.0,4.0,1.0,280,3.0,491,167,938,GasA,3,1,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,10,0,,Detchd,1977.0,2.0,1,308,3.0,3.0,3,145,0,0,0,0,0,,4.0,,0,2008,WD,Normal,130250,1876,False,True,True
45,20,RL,70.0,7945,Pave,,Reg,Lvl,4,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,2.0,4.0,179,3.0,506,465,1150,GasA,5,1,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,10,0,,Attchd,1959.0,3.0,1,300,3.0,3.0,3,0,0,0,0,0,0,,,,0,2006,WD,Normal,141000,2300,False,True,False
46,120,RL,61.0,7658,Pave,,Reg,Lvl,4,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5.0,3.0,2.0,5.0,456,0.0,0,1296,1752,GasA,5,1,SBrkr,1752,0,0,1752,1,0,2,0,2,1,5,6,10,1,4.0,Attchd,2005.0,3.0,2,576,3.0,3.0,3,196,82,0,0,0,0,,,,0,2010,WD,Normal,319900,3504,False,False,False
47,50,RL,48.0,12822,Pave,,IR1,Lvl,4,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5.0,3.0,2.0,5.0,1351,0.0,0,83,1434,GasA,5,1,SBrkr,1518,631,0,2149,1,0,1,1,1,1,4,6,10,1,5.0,Attchd,2003.0,3.0,2,670,3.0,3.0,3,168,43,0,0,198,0,,,,0,2009,WD,Abnorml,239686,3583,False,True,False
48,20,FV,84.0,11096,Pave,,Reg,Lvl,4,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,4.0,5.0,24,0.0,0,1632,1656,GasA,5,1,SBrkr,1656,0,0,1656,0,0,2,0,3,1,4,7,10,0,,Attchd,2006.0,3.0,3,826,3.0,3.0,3,0,146,0,0,0,0,,,,0,2007,WD,Normal,249700,3312,True,True,False
49,190,RM,33.0,4456,Pave,,Reg,Lvl,4,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,2.0,0.0,0,0.0,0,736,736,GasA,4,1,SBrkr,736,716,0,1452,0,0,2,0,2,3,3,8,10,0,,,,,0,0,,,1,0,0,102,0,0,0,,,,0,2009,New,Partial,113000,2188,False,True,False
50,20,RL,66.0,7742,Pave,,Reg,Lvl,4,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,2.0,3.0,763,0.0,0,192,955,GasA,5,1,SBrkr,955,0,0,955,1,0,1,0,3,1,3,6,10,0,,Attchd,1966.0,2.0,1,386,3.0,3.0,3,0,0,0,0,0,0,,4.0,,0,2007,WD,Normal,127000,1910,False,False,False
51,60,RL,,13869,Pave,,IR2,Lvl,4,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,4.0,5.0,182,0.0,0,612,794,GasA,4,1,SBrkr,794,676,0,1470,0,1,2,0,3,1,3,6,10,0,,Attchd,1997.0,4.0,2,388,3.0,3.0,3,0,75,0,0,0,0,,,,0,2007,WD,Normal,177000,2264,False,True,False
